Country,Year,Per capita CO2 emissions
Nicaragua,2015,0.843671874
Niger,2015,0.101014271
Nigeria,2015,0.626632025
Niue,2015,3.664
North America,2015,11.80758587
North America (excl. USA),2015,5.092302383
North Korea,2015,0.977633252
Norway,2015,8.712220862
Oceania,2015,11.51983242
Oman,2015,15.12598686
Pakistan,2015,0.925158319
Palau,2015,12.41688889
Palestine,2015,0.663387061
Panama,2015,2.741177601
Papua New Guinea,2015,0.909667425
Paraguay,2015,0.904621618
Peru,2015,1.690467398
Philippines,2015,1.118812581
Poland,2015,8.212987113
Portugal,2015,5.03238399
Qatar,2015,41.22580188
Romania,2015,3.903146444
Russia,2015,11.19079873
Rwanda,2015,0.081491776
Saint Helena,2015,1.832
Saint Kitts and Nevis,2015,4.597960784
Saint Lucia,2015,2.292558659
Saint Pierre and Miquelon,2015,12.824
Saint Vincent and the Grenadines,2015,2.016880734
Samoa,2015,1.208742268
Sao Tome and Principe,2015,0.570773869
Saudi Arabia,2015,19.57509796
Senegal,2015,0.694024179
Serbia,2015,4.928140882
Seychelles,2015,5.168168421
Sierra Leone,2015,0.12618628
Singapore,2015,10.98020601
Sint Maarten (Dutch part),2015,18.8696
Slovakia,2015,6.340480459
Slovenia,2015,6.572726223
Solomon Islands,2015,0.315966833
Somalia,2015,0.045677176
South Africa,2015,8.346874517
South America,2015,2.841285245
South Korea,2015,11.71504801
South Sudan,2015,0.181216872
Spain,2015,5.808616509
Sri Lanka,2015,0.948447867
Sudan,2015,0.498407025
Suriname,2015,3.05328231
Swaziland,2015,0.889449275
Sweden,2015,4.409293649
Switzerland,2015,4.667727547
Syria,2015,1.593346229
Taiwan,2015,10.91634896
Tajikistan,2015,0.573481721
Tanzania,2015,0.244270253
Thailand,2015,4.093238893
Timor,2015,0.419705686
Togo,2015,0.368851017
Tonga,2015,1.197148515
Trinidad and Tobago,2015,33.66784882
Tunisia,2015,2.618481231
Turkey,2015,4.855937858
Turkmenistan,2015,12.62011561
Turks and Caicos Islands,2015,5.699555556
Tuvalu,2015,0.999272727
Uganda,2015,0.132878967
Ukraine,2015,4.984419456
United Arab Emirates,2015,20.6871282
United Kingdom,2015,6.413798563
United States,2015,16.90039643
Uruguay,2015,1.939747015
Uzbekistan,2015,3.302627669
Vanuatu,2015,0.486730627
Venezuela,2015,5.681118592
Vietnam,2015,1.945534055
World,2015,4.805382422
Yemen,2015,0.479227132
Zambia,2015,0.270534722
Zimbabwe,2015,0.880429418
