Year,Country,hf_score,hf_quartile,pf_rol,pf_ss,pf_movement,pf_religion,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score
2016,"Congo, Rep. Of",5.61,4,3.4,7.2,3.3,9.4,7,8.8,6.35,5.1,3.1,5.6,4.9,5.6,4.87
2016,Costa Rica,7.79,1,6.6,8.4,10,8.1,9.6,6.7,8.15,7.1,5.9,9.8,8,6.4,7.44
2016,Croatia,7.72,2,5.7,9.9,10,8.1,8.6,10,8.46,5.1,5.5,9.1,8.2,7.1,6.99
2016,Cyprus,8.09,1,6.3,9.7,10,7.2,9.5,10,8.51,7.1,5.9,9.5,8.3,7.5,7.67
2016,Czech Rep.,8.38,1,7.8,9.9,10,7.8,9.5,9,9.01,6.7,6.3,9.4,8.2,8.1,7.75
2016,Denmark,8.52,1,8.7,9.9,8.3,7.7,9.7,10,9.16,4.7,8.1,9.9,8.5,8.3,7.88
2016,Dominican Rep.,7.06,2,4.4,7.8,10,8.5,8.9,6.7,7.19,6.6,4,9.5,7.9,6.6,6.93
2016,Ecuador,6.89,2,4.3,9,10,7.8,7.9,10,7.55,6.5,3.8,8.3,6.5,6,6.23
2016,Egypt,4.49,4,3.6,5,1.7,3.7,6.5,0,3.7,5.1,3.9,6.9,5.6,4.8,5.28
2016,El Salvador,7,2,4.4,6.5,10,9.1,8.1,6.7,6.9,8.2,3.6,9.8,7.7,6.2,7.09
2016,Estonia,8.48,1,7.8,9.7,10,8.3,9.6,9,9.01,6.4,7.4,9.3,8.4,8.2,7.95
2016,Eswatini,6.28,3,4.6,7.4,6.7,8,6,4.8,6.18,5,4.36,7.7,7,7.7,6.37
2016,Ethiopia,5.23,4,3.3,6,8.3,5.6,5.3,5,4.89,5.8,4.6,5.7,5,6.6,5.57
2016,Fiji,7.28,2,4.7,8.9,10,9.2,7.7,10,8.01,5.7,5.3,6.4,6.5,8.8,6.55
2016,Finland,8.51,1,8.6,9.8,10,7.9,9.7,9,9.27,4.6,8.8,9.4,8.2,7.7,7.75
2016,France,8.04,1,6.8,9.7,10,7.3,9.3,10,8.77,4.8,6.9,9.5,8.2,7.2,7.32
2016,Gabon,5.69,4,4.2,7.8,1.7,8.9,6.2,5,5.59,5.9,3.9,6.6,5.7,6.8,5.78
2016,"Gambia, The",6.09,4,3.9,5.2,6.7,7.6,2.9,3.8,4.89,7.2,5.49,9.3,7.5,7,7.28
